State,Branch,Type,Election_Date,Party,Candidate,Win,Votes,Incumbent,Handle,Bio,Following,Followers,Bio_Length,bio_polarity,bio_subjectivity,bio_profanity,num_tweets,mean_tweet_length,mean_unique_words,mean_pct_unique,mean_tweet_polarity,std_tweet_polarity,mean_tweet_subjectivity,std_tweet_subjectivity,mean_tweet_profanity,std_tweet_profanity,polarity_coef,subjectivity_coef,profanity_coef,unique_coef,length_coef,pct_unique_coef
Alabama,Senate,General,11/8/2022,R,Katie Britt,W,940054,1,KatieBrittforAL,Unapologetically committed putting AlabamaFirst delivering results great KATIE 484848 join campaign text list,2,19798,20,0.8,0.75,0.019468074,965,31.37720207,28.13160622,0.896561974,0.228550032,0.298075023,0.443565901,0.27465664,0.038215865,0.049209405,1.83E-05,-5.76E-06,-2.44E-06,-0.000503112,-0.001154783,1.52E-05
Alabama,Senate,General,11/8/2022,D,Will Boyd,L,435431,0,willboydforAL,Senate Nominee Husband Father Bishop Pastor Engineer Educator Author,2224,4176,9,0,0,0.016660902,330,30.86969697,26.99090909,0.874349661,0.189707637,0.253048346,0.35283425,0.298291836,0.030552501,0.034297379,0.000108945,0.00025532,-2.96E-05,0.0104215,0.00926413,4.60E-05
Alabama,Senate,Primary,5/24/2022,D,Brandaun Dean,L,32863,0,BrandaunDean,Black America reparations I justice system police violence affected citizen battling displacement,207,2618,16,-0.166666667,0.433333333,0.076919047,1602,22.8258427,20.6069869,0.902791944,0.012197794,0.242735915,0.345183104,0.288340711,0.178219047,0.268845602,-4.25E-07,-3.32E-05,7.57E-06,-0.003127551,-0.003749193,1.66E-05
Alabama,Senate,Primary,5/24/2022,R,Jake Schafer,L,6951,0,NO_HANDLE,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Senate,Primary,5/24/2022,R,Karla DuPriest,L,5366,0,NO_HANDLE,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Senate,Primary,5/24/2022,R,Katie Britt,W,268949,1,KatieBrittforAL,Unapologetically committed putting AlabamaFirst delivering results great KATIE 484848 join campaign text list,2,19798,20,0.8,0.75,0.019468074,1034,29.22243714,26.36266925,0.90213794,0.260731849,0.290374321,0.448072976,0.277612882,0.035741679,0.045184714,3.58E-05,-2.80E-05,-9.50E-06,-0.006169827,-0.006987336,2.62E-05
Alabama,Senate,Primary,5/24/2022,D,Lanny Jackson,L,28402,0,NO_HANDLE,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Senate,Primary,5/24/2022,R,Lillie Boddie,L,4865,0,NO_HANDLE,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Senate,Primary,5/24/2022,R,Michael Durant,L,138300,0,NO_HANDLE,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Senate,Primary,5/24/2022,R,Mo Brooks,L,170108,0,RepMoBrooks,following Alabama 5th District Congressman Political discourse welcome BLOCKED Profanity defamation lying PLEASE RETWEET GOOD INFO,2055,116385,18,0.375,0.425,0.0038664,684,36.99122807,32.8245614,0.887360683,0.082775728,0.304101693,0.438073465,0.258270615,0.053198899,0.065146224,-3.12E-05,2.94E-05,2.07E-05,-0.002453939,-0.001768054,-1.57E-05
