State,Branch,Type,Party,Candidate,Win,Votes,Incumbent,Handle,Bio,Following,Followers
Iowa,Senate,Primary,D,Abby Finkenauer,0,62358,0,Abby4Iowa,['Former U.S. Congresswoman & Iowa State Representative. Building dreams and doing life w/ @danwasta. (personal account- for official follow @stateyouth )'],671,54113
Nevada,Senate,General,R,Adam Laxalt,0,476676,0,AdamLaxalt,None,1450,89610
Nevada,Senate,Primary,R,Adam Laxalt,1,97830,0,AdamLaxalt,None,1450,89610
Wisconsin,Senate,Primary,D,Alex Lasry,0,40820,0,AlexLasryWI,['Husband to Lauren & dad to Eleanor. Fmr. Candidate for U.S. Senate. SVP Milwaukee Bucks. Fmr. Chair @Milwaukee2020 bid. Obama White House Alum.'],215,23344
California,Senate,General,D,Alex Padilla,1,3202616,1,AlexPadilla4CA,['U.S. Senator for California. Husband & Dad. Former CA Secretary of State. @MIT Grad. San Fernando Valley native. Defending the dream.'],1569,112309
California,Senate,Primary,D,Alex Padilla,1,3725544,1,AlexPadilla4CA,['U.S. Senator for California. Husband & Dad. Former CA Secretary of State. @MIT Grad. San Fernando Valley native. Defending the dream.'],1569,112309
Pennsylvania,Senate,Primary,D,Alexandria Khalil,0,54460,0,NO_HANDLE,None,0,0
Nevada,Senate,Primary,D,Allen Rheinhart,0,2394,0,NO_HANDLE,None,0,0
Utah,Senate,Primary,R,Ally Isom,0,27263,0,allyforutah,['Official campaign account for U.S. Senate Candidate Ally Isom. It’s time for a new dawn in the Republican Party. Join us! #AllyForUtah'],223,843
North Carolina,Senate,Primary,D,Alyssia Hammond,0,21005,0,NO_HANDLE,None,0,0
South Carolina,Senate,Primary,D,Angela Geter,0,55281,0,angelaforsc,"['US Air Force Veteran, Accounting/Finance Professional, Lifelong South Carolinian, Daughter, Auntie.  #FrontlineLeadership']",2403,3304
Illinois,Senate,Primary,R,Anthony Williams,0,50537,0,NO_HANDLE,None,0,0
Kentucky,Senate,Primary,R,Arnold Blankenship,0,10092,0,NO_HANDLE,None,0,0
Oklahoma,Senate,Primary,D,Arya Azma,0,11469,0,NO_HANDLE,None,0,0
Hawaii,Senate,Primary,R,Asia LaVonne,0,4973,0,AsiaLaVonne,['Hawaii State Advisory Committee Member to the US Commission on Civil Rights (USCCR)\n\nSenatorial Candidate 2024'],71,10
North Carolina,Senate,Primary,D,B.K. Maginnis,0,7044,0,NO_HANDLE,None,0,0
Utah,Senate,Primary,R,Becky Edwards,0,98802,0,beckyforutah,['Lifelong Utahn. Unabashed cheerleader for empowering political and civic engagement. Former U.S. Senate candidate and Utah House Rep.'],897,6819
Idaho,Senate,Primary,D,Ben Pursley,0,13987,0,NO_HANDLE,None,0,0
Missouri,Senate,Primary,R,Billy Long,0,32603,0,USRepLong,['Representing Missouri’s 7th District in the United States Congress - Member of the House Energy and Commerce Committee'],4183,28511
Arizona,Senate,General,R,Blake Masters,0,1005001,0,bgmasters,['Running for U.S. Senate in Arizona 🌵🇺🇸  Endorsed by President Trump'],2521,277356
Arizona,Senate,Primary,R,Blake Masters,1,327198,0,bgmasters,['Running for U.S. Senate in Arizona 🌵🇺🇸  Endorsed by President Trump'],2521,277356
