State,Branch,Type,Election_Date,Party,Candidate,Win,Votes,Incumbent,Handle,Bio,Following,Followers,Bio_Length,bio_polarity,bio_subjectivity,bio_profanity
Alabama,Senate,General,2022-11-08,R,Katie Britt,1,940054,1,KatieBrittforAL,Unapologetically committed putting AlabamaFirst delivering results great KATIE 484848 join campaign text list,2,19798,20,0.8,0.75,0.019468074
Alabama,Senate,General,2022-11-08,D,Will Boyd,0,435431,0,willboydforAL,Senate Nominee Husband Father Bishop Pastor Engineer Educator Author,2224,4176,9,0,0,0.016660902
Alabama,Senate,Primary,2022-05-24,D,Brandaun Dean,0,32863,0,BrandaunDean,Black America reparations I justice system police violence affected citizen battling displacement,207,2618,16,-0.166666667,0.433333333,0.076919047
Alabama,Senate,Primary,2022-05-24,R,Jake Schafer,0,6951,0,NO_HANDLE,None,0,0,0,,,
Alabama,Senate,Primary,2022-05-24,R,Karla DuPriest,0,5366,0,NO_HANDLE,None,0,0,0,,,
Alabama,Senate,Primary,2022-05-24,R,Katie Britt,1,268949,1,KatieBrittforAL,Unapologetically committed putting AlabamaFirst delivering results great KATIE 484848 join campaign text list,2,19798,20,0.8,0.75,0.019468074
Alabama,Senate,Primary,2022-05-24,D,Lanny Jackson,0,28402,0,NO_HANDLE,None,0,0,0,,,
Alabama,Senate,Primary,2022-05-24,R,Lillie Boddie,0,4865,0,NO_HANDLE,None,0,0,0,,,
Alabama,Senate,Primary,2022-05-24,R,Michael Durant,0,138300,0,NO_HANDLE,None,0,0,0,,,
Alabama,Senate,Primary,2022-05-24,R,Mo Brooks,0,170108,0,RepMoBrooks,following Alabama 5th District Congressman Political discourse welcome BLOCKED Profanity defamation lying PLEASE RETWEET GOOD INFO,2055,116385,18,0.375,0.425,0.0038664
Alabama,Senate,Primary,2022-05-24,D,Will Boyd,1,107588,0,willboydforAL,Senate Nominee Husband Father Bishop Pastor Engineer Educator Author,2224,4176,9,0,0,0.016660902
Alaska,Senate,General,2022-11-08,R,Kelly Tshibaka,0,117299,0,KellyForAlaska,wife proud mom 5 Standing financial prosperity family freedom firearms fiscal responsibility future generations,8,32026,18,0.266666667,0.375,0.032801262
Alaska,Senate,General,2022-11-08,R,Lisa Murkowski,1,135972,1,lisamurkowski,Official Twitter account Senator Lisa Murkowski Follow news updates happening Senate across Alaska,588,328808,22,0,0,0.028057507
Alaska,Senate,Primary,2022-08-16,R,Buzz Kelley,1,4034,0,NO_HANDLE,None,0,0,0,,,
Alaska,Senate,Primary,2022-08-16,R,Kelly Tshibaka,1,73161,0,KellyForAlaska,wife proud mom 5 Standing financial prosperity family freedom firearms fiscal responsibility future generations,8,32026,18,0.266666667,0.375,0.032801262
Alaska,Senate,Primary,2022-08-16,R,Lisa Murkowski,1,85344,1,lisamurkowski,Official Twitter account Senator Lisa Murkowski Follow news updates happening Senate across Alaska,588,328808,22,0,0,0.028057507
